Volume,Block Temp,Block Rate,Iset,Imeasure,Vset,New Block Rate
5,86.7733,3.7069991161827014,3.7276,4.1368,12.8952,3.2924992150070502
5,87.4318,3.2925031399755698,3.5696,3.8117,12.5424,3.3465031914741186
5,88.1011,3.346499202132539,3.4038,3.7258,12.1797,3.109499258637671
5,88.723,3.1094992586375327,3.286,3.5753,11.932,2.9709992916585213
5,89.3172,2.9709992916585213,3.1855,3.4357,11.7151,2.6309993727208356
5,89.8434,2.630999372720964,3.168,3.4195,11.7203,2.0864995025398048
5,90.2607,2.0865019898433084,3.1719999999999997,3.4383,11.7738,2.4950023794196206
5,90.7597,2.4949994051458075,3.1865,3.6076,11.8554,2.2934994531871973
5,91.2184,2.293499453187136,3.2594,3.484,12.0886,2.204499474406344
5,91.6593,2.2044994744063047,3.3621,3.6639999999999997,12.398,2.3339994435310674
5,92.1261,2.3339994435311917,3.4063,3.6962,12.5492,2.156999485731358
5,92.5575,2.1570020570774964,3.4718,3.7419,12.8816,2.516002399446809
5,93.0607,2.5159994001390054,3.5566,3.8977,13.0167,2.326499445319416
5,93.52600000000001,2.326499445319354,3.6222,3.9138,13.23,2.3534994388819555
5,93.9967,2.3534994388819137,3.6632,3.9219,13.3713,2.4449994170665983
5,94.4857,2.44499941706649,3.7033,4.1421,13.515999999999998,2.5739993863105814
5,95.0005,2.5740024547605524,3.6815,3.9729,13.5121,2.513002396586317
5,95.5031,2.5129994008544596,4.4173,4.7573,15.4884,2.7064993547204486
5,96.0444,2.7064993547204246,4.2538,4.7841,15.1063,2.786499335646975
5,96.6017,2.786499335645639,-1.7125,4.7035,-0.6011,2.9809992892732184
5,97.1979,2.9809992892746484,-2.2837,1.7863,-2.0632,2.6239993743899794
5,97.7227,2.624002502444254,-3.1452,2.5304,-4.2858,1.0810010309231144
5,97.9389,1.0809997422696764,-2.2697,2.1651,-1.9858,-0.4764998863936606
5,97.8436,-0.4764998863936521,0.8931,0.043,1.6248,-1.3634996749164436
5,97.5709,-1.3634996749157897,-0.039,0.1665,4.0592,-1.7364995859854764
5,97.2236,-1.7364995859863093,-0.8412,1.0369,6.1338,-1.9394995375874235
5,96.8357,-1.9395018496534546,-1.2255,1.4076,7.1119,-1.5295014586465712
5,96.5298,-1.5294996353390475,-1.2748,1.7568,7.2306,-1.078999742746518
5,96.314,-1.0789997427464988,-1.2051,1.5204,7.0335,-0.8724997919798752
5,96.1395,-0.8638618021380903,-1.0089,1.3162,6.5142,-0.5084160864159507
5,96.0368,-0.5186863640359382,-0.7914,1.4156,5.9362,-0.6090903164823066
5,95.9162,-0.6030005750662486,-0.4001,0.6178,4.9087,-0.5260005016332443
5,95.811,-0.525999874591886,-0.2783,0.599,4.587,-0.7184998286964042
5,95.6673,-0.7184998286963914,-0.4064,0.6608,4.9064,-0.769499816536967
5,95.5134,-0.7694998165365979,-0.2857,0.5211,4.5785,-0.92349977982015
5,95.3287,-0.923499779820593,-0.5008,0.9321,5.1339999999999995,-0.7689998166562307
5,95.1749,-0.769000733376405,-0.3963,0.6877,4.8401,-0.97450092935663
5,94.98,-0.974499767661186,2.245,2.799,9.5646,-0.9339997773172091
5,94.7932,-0.9339997773171925,2.5397,2.8742,10.5915,-0.7569998195172091
5,94.6418,-0.7569998195168459,2.5386,3.0515,10.6088,-0.2564999388455326
5,94.5905,-0.2564999388456557,2.248,2.8178,9.7342,0.35999991416930016
5,94.6625,0.36000034332308783,2.0515,1.9341,8.3399,0.6650006341941922
5,94.7955,0.6649998414517907,1.2990000000000002,1.2249,6.5858,0.5384998716116443
5,94.9032,0.5384998716116347,1.1816,0.9241,6.9759,0.6139998536111321
5,95.02600000000001,0.6139998536108376,0.6343,1.0691,5.5464,0.1294999691247131
5,95.0519,0.12949996912477638,1.4142,1.6789,7.5947,-0.05199998760226192
5,95.0415,-0.0520000495911419,1.2381,1.7192,7.1366,-0.2050001955034418
5,95.0005,-0.20499995112420158,1.6245,1.8159,8.1422,-0.1524999636412038
5,94.97,-0.1524999636412038,1.4517,2.3612,7.6851,-0.14149996626379688
5,94.9417,-0.13872549279012006,1.6759,1.9851,8.275,0.02500000046747008
5,94.9468,0.026020394996129292,1.4782,2.1409,7.7553,0.19591826820624805
5,94.9852,0.1920001831057274,1.1041,1.6896,6.7791,0.02550002431871665
5,94.9903,0.025499993920323354,1.3652,1.7971,7.4681,0.20499995112420158
5,95.0313,0.20499995112420522,1.0642,1.4479,6.6696,0.013499996781301923
5,95.03399999999999,0.013499996781295208,1.3258,1.5849,7.3629999999999995,0.024999994039575046
5,95.039,0.024999994039587036,1.2379,1.3915,7.1359,-0.1924999541044436
