Heat Sink Temp,Block Temp,Iset,Imeasure
33.5705,70.8223,1.1406,1.4506
33.5193,70.884,1.146,1.4667
33.826,70.983,1.1437,1.4183
33.5705,71.0623,1.1555,1.4962
33.5193,71.1361,1.154,1.4452
33.5705,71.1907,1.171,1.3727
33.5193,71.2649,1.1817,1.4613
33.3652,71.3144,1.1728,1.515
33.4167,71.3933,1.1682,1.3162
33.5193,71.4726,1.1685,1.4962
33.6217,71.5767,1.1621,1.4882
33.468,71.6606,1.1531,1.2276
33.468,71.7348,1.1706,1.4855
33.3652,71.7894,1.1687,1.3834
33.468,71.8834,1.186,1.5285
33.4167,71.9576,1.1681,1.3834
33.3652,72.0443,1.1704,1.5043
33.3652,72.1212,1.1727,1.507
33.4167,72.1758,1.1679,1.4183
33.3138,72.2549,1.2074,1.5338
33.3138,72.3341,1.201,1.4908
33.3138,72.4159,1.1976,1.4989
33.3652,72.4927,1.216,1.5741
33.3138,72.5672,1.1991,1.4076
33.1589,72.6364,1.2298,1.5741
33.2106,72.7134,1.2139,1.5446
33.2622,72.7851,1.195,1.4774
33.1072,72.8596,1.1955,1.5231
33.4167,72.9388,1.1751,1.241
33.2106,73.0181,1.1923,1.5258
33.2106,73.0875,1.1799,1.4318
33.2106,73.1769,1.2047,1.5365
33.1589,73.2316,1.2294,1.5822
33.1072,73.3331,1.2176,1.472
33.0036,73.4051,1.2154,1.5768
33.1589,73.4695,1.2199,1.3136
33.0036,73.5368,1.2307,1.5419
32.8477,73.6037,1.2437,1.5338
33.1589,73.7128,1.2411,1.472
33.1589,73.7625,1.2373,1.5231
33.0036,73.8543,1.2296,1.3941
33.0036,73.9239,1.2393,1.5876
33.1072,74.0109,1.2212,1.421
33.0036,74.0802,1.2354,1.5661
33.1072,74.1498,1.2501,1.5768
33.0036,74.2592,1.2426,1.5285
32.8997,74.3138,1.2351,1.5687
33.0036,74.3934,1.2385,1.3324
33.1072,74.448,1.2516,1.5902
33.1072,74.5126,1.2488,1.6225
32.8477,74.6069,1.2432,1.5231
32.8997,74.6768,1.2617,1.5929
32.7435,74.7636,1.244,1.5285
32.9517,74.8359,1.2397,1.5822
32.8997,74.9053,1.2629,1.5285
32.8477,74.9751,1.268,1.6144
32.8997,75.0546,1.2632,1.6225
32.7956,75.1341,1.269,1.4801
32.8997,75.1989,1.2777,1.5714
32.6913,75.2834,1.287,1.4479
32.7435,75.3631,1.2818,1.6547
32.7435,75.4203,1.2846,1.472
32.7956,75.5274,1.2687,1.6332
32.8997,75.5646,1.2713,1.6225
32.7956,75.6667,1.2933,1.5365
32.6913,75.7491,1.2921,1.652
32.8477,75.8038,1.2972,1.5285
33.0036,75.9034,1.3025,1.4049
32.5867,75.9606,1.3051,1.6681
32.8477,76.038,1.3103,1.5983
32.8477,76.1499,1.2938,1.515
32.5867,76.1799,1.2928,1.5929
32.6913,76.2696,1.2991,1.472
32.6913,76.3594,1.2978,1.6574
32.639,76.434,1.2942,1.601
32.639,76.499,1.284,1.6225
32.6913,76.5587,1.2905,1.6735
32.5867,76.6434,1.3153,1.507
32.6913,76.7382,1.3118,1.6789
32.4818,76.8057,1.3148,1.5419
32.4294,76.9028,1.3014,1.5956
32.5867,76.9352,1.3023,1.4935
32.5867,77.0227,1.3136,1.3968
32.5867,77.1,1.3454,1.7219
32.4294,77.1822,1.3092,1.6037
32.5343,77.257,1.3342,1.7057
32.4294,77.327,1.3251,1.5902
32.639,77.4168,1.3203,1.6708
32.5343,77.4767,1.3135,1.6305
32.3768,77.5566,1.321,1.5419
32.3768,77.6465,1.3379,1.7057
32.5867,77.7215,1.3214,1.5392
32.639,77.7563,1.3553,1.7434
32.4294,77.8364,1.3513,1.5929
32.639,77.9163,1.3608,1.6816
32.5343,77.9961,1.3505,1.7272
32.3768,78.0762,1.3492,1.6117
32.4818,78.1563,1.349,1.5714
32.3242,78.2212,1.3494,1.6977
32.4818,78.3059,1.3426,1.5876
32.4294,78.396,1.3409,1.7219
32.3768,78.4661,1.3429,1.5687
32.3768,78.531,1.3564,1.7326
32.2187,78.601,1.3494,1.6252
32.3768,78.6935,1.3588,1.7595
32.2715,78.741,1.3592,1.6789
32.2187,78.8362,1.3707,1.7165
32.3768,78.9162,1.3721,1.7031
32.4294,78.9863,1.3694,1.7514
32.4294,79.0764,1.3651,1.7031
32.4294,79.134,1.359,1.5741
32.3242,79.2113,1.385,1.6869
32.3242,79.3042,1.374,1.6305
32.3242,79.3417,1.3855,1.5446
32.5343,79.4016,1.3896,1.781
32.3242,79.5196,1.3789,1.789
32.3768,79.577,1.3794,1.5553
32.3242,79.6573,1.3973,1.7648
32.2715,79.7399,1.3919,1.6789
32.3768,79.7874,1.3865,1.7675
32.3242,79.8801,1.3995,1.6681
32.0601,79.9504,1.4018,1.7729
32.1131,80.0282,1.3976,1.7971
32.1131,80.1032,1.3998,1.7004
32.3768,80.1883,1.403,1.7944
32.3768,80.2637,1.3991,1.7434
32.0601,80.3388,1.4023,1.746
32.1131,80.4091,1.4037,1.8213
32.1131,80.4993,1.3961,1.6278
32.2187,80.5695,1.402,1.8078
